Model,Accuracy,Precision (macro),Recall (macro),F1-score (macro)
Random Forest,0.9479905437352246,0.9519912624627872,0.946274843565484,0.9477815687473011
Decision Tree,0.9196217494089834,0.9216199193658211,0.9162529497504867,0.9181209205916022
KNN,0.8723404255319149,0.8713380253684319,0.8703378905349348,0.8665573149814997
Logistic Regression,0.8274231678486997,0.8228522691237731,0.8249387995693415,0.8225978009296363
Naive Bayes,0.6052009456264775,0.643237114665686,0.6005284990506665,0.5776685868804664
